location_name,dataset_version,terrain_class,terrain_slope_pct,flood_risk_score,heat_risk_score,climate_risk_score,road_proximity_km,transit_proximity_km,source,tags
Nanakramguda,seed_v1,gentle,3.1,26,61,39,0.4,1.1,city_gis,climate|gis
Siruseri,seed_v1,flat,1.7,56,58,57,0.4,1.4,city_gis,climate|gis
Porur,seed_v1,flat,1.5,53,57,54,0.3,1.0,city_gis,climate|gis
Magarpatta,seed_v1,flat,2.1,26,54,36,0.4,1.1,city_gis,climate|gis
Balewadi,seed_v1,gentle,3.0,24,53,35,0.4,1.4,city_gis,climate|gis
EM Bypass,seed_v1,flat,1.6,47,55,50,0.4,0.9,city_gis,climate|gis
Topsia,seed_v1,flat,1.5,49,55,51,0.3,0.8,city_gis,climate|gis
Thaltej,seed_v1,flat,1.8,20,58,35,0.3,1.0,city_gis,climate|gis
Science City,seed_v1,flat,2.0,18,57,34,0.4,1.3,city_gis,climate|gis
Marine Drive,seed_v1,flat,1.1,46,52,47,0.2,0.7,city_gis,climate|gis
Aerocity,seed_v1,flat,1.4,31,60,42,0.3,0.6,city_gis,climate|gis
Okhla Phase 1,seed_v1,flat,1.5,35,61,44,0.3,0.7,city_gis,climate|gis
Netaji Subhash Place,seed_v1,flat,1.6,30,59,41,0.3,0.8,city_gis,climate|gis
