name,country_code,state,city,locality,ward,pin_code,lat,lng
Kokapet,IN,Telangana,Hyderabad,Kokapet,Gandipet,500075,17.3950,78.3370
Guindy,IN,Tamil Nadu,Chennai,Guindy,Guindy,600032,13.0067,80.2206
Sholinganallur,IN,Tamil Nadu,Chennai,Sholinganallur,Sholinganallur,600119,12.8984,80.2279
Baner,IN,Maharashtra,Pune,Baner,Pune City,411045,18.5590,73.7868
Wakad,IN,Maharashtra,Pune,Wakad,Pimpri-Chinchwad,411057,18.5975,73.7637
Salt Lake Sector V,IN,West Bengal,Kolkata,Salt Lake Sector V,Bidhan Nagar,700091,22.5697,88.4337
Rajarhat,IN,West Bengal,Kolkata,Rajarhat,New Town,700135,22.6200,88.4500
SG Highway,IN,Gujarat,Ahmedabad,SG Highway,North West,380054,23.0482,72.5169
Prahlad Nagar,IN,Gujarat,Ahmedabad,Prahlad Nagar,South West,380015,23.0126,72.5107
Edappally,IN,Kerala,Kochi,Edappally,Ernakulam,682024,10.0261,76.3083
Worli,IN,Maharashtra,Mumbai,Worli,G South,400018,19.0176,72.8174
Chembur,IN,Maharashtra,Mumbai,Chembur,M Ward,400071,19.0522,72.9005
Sohna Road,IN,Haryana,Gurugram,Sohna Road,Gurugram,122018,28.4089,77.0405
Dwarka Expressway,IN,Haryana,Gurugram,Dwarka Expressway,Gurugram,122017,28.4967,76.9977
Noida Sector 137,IN,Uttar Pradesh,Noida,Sector 137,Gautam Buddh Nagar,201305,28.5104,77.4050
Noida Sector 142,IN,Uttar Pradesh,Noida,Sector 142,Gautam Buddh Nagar,201305,28.5226,77.4126
Madhapur,IN,Telangana,Hyderabad,Madhapur,Serilingampally,500081,17.4483,78.3915
Nanakramguda,IN,Telangana,Hyderabad,Nanakramguda,Serilingampally,500032,17.4127,78.3446
Siruseri,IN,Tamil Nadu,Chennai,Siruseri,Chengalpattu,603103,12.8230,80.2276
Porur,IN,Tamil Nadu,Chennai,Porur,Porur,600116,13.0384,80.1565
Magarpatta,IN,Maharashtra,Pune,Magarpatta,Haveli,411013,18.5159,73.9317
Balewadi,IN,Maharashtra,Pune,Balewadi,Pune City,411045,18.5708,73.7791
EM Bypass,IN,West Bengal,Kolkata,EM Bypass,Kasba,700107,22.5140,88.4010
Topsia,IN,West Bengal,Kolkata,Topsia,Kolkata,700046,22.5413,88.3929
Thaltej,IN,Gujarat,Ahmedabad,Thaltej,North West,380059,23.0524,72.5167
Science City,IN,Gujarat,Ahmedabad,Science City,North West,380060,23.0725,72.4935
Marine Drive,IN,Kerala,Kochi,Marine Drive,Ernakulam,682031,9.9816,76.2800
Aerocity,IN,Delhi,Delhi,Aerocity,South West Delhi,110037,28.5519,77.1218
Okhla Phase 1,IN,Delhi,Delhi,Okhla Phase 1,South East Delhi,110020,28.5308,77.2721
Netaji Subhash Place,IN,Delhi,Delhi,Netaji Subhash Place,North West Delhi,110034,28.6980,77.1525
